iter	Passed	Remaining
0	29	14649
1	50	12578
2	82	13689
3	137	17034
4	176	17430
5	219	18094
6	264	18594
7	306	18820
8	357	19513
9	390	19152
10	441	19623
11	511	20819
12	561	21052
13	604	20997
14	641	20731
15	683	20676
16	716	20360
17	762	20407
18	808	20456
19	845	20301
20	878	20043
21	896	19485
22	933	19363
23	965	19140
24	1002	19056
25	1035	18885
26	1069	18738
27	1100	18550
28	1136	18450
29	1170	18342
30	1297	19628
31	1307	19124
32	1361	19269
33	1404	19250
34	1451	19289
35	1496	19292
36	1525	19087
37	1606	19527
38	1692	20009
39	1717	19748
40	1767	19782
41	1796	19594
42	1802	19160
43	1831	18977
44	1863	18844
45	1901	18769
46	1938	18688
47	1967	18523
48	2003	18440
49	2040	18367
50	2099	18486
51	2133	18377
52	2163	18245
53	2190	18087
54	2235	18090
55	2272	18015
56	2310	17955
57	2345	17876
58	2397	17921
59	2426	17792
60	2471	17789
61	2507	17716
62	2554	17716
63	2602	17728
64	2640	17674
65	2673	17581
66	2707	17496
67	2743	17429
68	2787	17409
69	2815	17293
70	2853	17239
71	2889	17178
72	2924	17106
73	2958	17030
74	2987	16930
75	3020	16853
76	3059	16807
77	3097	16759
78	3136	16716
79	3179	16691
80	3221	16664
81	3253	16582
82	3303	16596
83	3346	16572
84	3380	16506
85	3425	16490
86	3470	16476
87	3510	16436
88	3537	16335
89	3571	16269
90	3606	16210
91	3641	16147
92	3671	16067
93	3706	16007
94	3745	15968
95	3802	16000
96	3851	16003
97	3886	15943
98	3915	15861
99	3950	15803
100	3977	15713
101	4010	15650
102	4034	15550
103	4062	15467
104	4093	15400
105	4124	15330
106	4158	15271
107	4187	15198
108	4215	15120
109	4246	15056
110	4279	14999
111	4315	14950
112	4349	14896
113	4377	14821
114	4409	14763
115	4438	14694
116	4469	14630
117	4502	14575
118	4533	14515
119	4574	14487
120	4607	14432
121	4640	14377
122	4674	14328
123	4709	14281
124	4745	14235
125	4784	14201
126	4811	14130
127	4850	14097
128	4883	14045
129	4910	13977
130	4944	13928
131	4982	13890
132	5014	13837
133	5052	13799
134	5084	13745
135	5120	13704
136	5165	13687
137	5199	13638
138	5237	13602
139	5282	13584
140	5318	13542
141	5346	13479
142	5378	13426
143	5423	13408
144	5460	13368
145	5493	13319
146	5582	13404
147	5642	13420
148	5676	13370
149	5713	13331
150	5749	13288
151	5787	13250
152	5819	13198
153	5854	13152
154	5884	13098
155	5918	13050
156	5944	12987
157	5972	12926
158	5994	12856
159	6014	12781
160	6037	12712
161	6063	12650
162	6072	12554
163	6095	12488
164	6115	12417
165	6136	12347
166	6160	12284
167	6193	12238
168	6215	12174
169	6250	12133
170	6281	12084
171	6302	12019
172	6325	11957
173	6349	11895
174	6375	11840
175	6399	11780
176	6423	11721
177	6445	11660
178	6467	11597
179	6491	11540
180	6514	11481
181	6539	11425
182	6562	11367
183	6589	11316
184	6614	11262
185	6640	11210
186	6663	11154
187	6689	11101
188	6720	11059
189	6743	11003
190	6767	10948
191	6793	10897
192	6818	10845
193	6845	10797
194	6870	10746
195	6895	10695
196	6920	10644
197	6950	10601
198	6976	10552
199	7001	10501
200	7027	10454
201	7056	10410
202	7084	10364
203	7106	10311
204	7128	10257
205	7149	10203
206	7181	10164
207	7209	10120
208	7249	10093
209	7278	10051
210	7341	10055
211	7386	10034
212	7416	9992
213	7458	9967
214	7483	9920
215	7504	9866
216	7527	9817
217	7551	9768
218	7574	9718
219	7594	9665
220	7616	9615
221	7639	9566
222	7665	9522
223	7692	9478
224	7714	9428
225	7738	9382
226	7758	9330
227	7780	9282
228	7807	9239
229	7829	9191
230	7851	9143
231	7875	9097
232	7896	9048
233	7916	8998
234	7937	8950
235	7956	8900
236	7981	8856
237	8004	8812
238	8023	8761
239	8045	8715
240	8067	8669
241	8086	8621
242	8108	8575
243	8129	8528
244	8150	8483
245	8172	8438
246	8191	8390
247	8213	8345
248	8239	8305
249	8262	8262
250	8284	8218
251	8304	8172
252	8326	8128
253	8347	8084
254	8371	8043
255	8393	8000
256	8419	7960
257	8441	7917
258	8462	7874
259	8482	7830
260	8506	7789
261	8529	7748
262	8552	7706
263	8576	7666
264	8598	7624
265	8621	7584
266	8645	7544
267	8651	7489
268	8671	7446
269	8695	7407
270	8714	7363
271	8735	7322
272	8757	7281
273	8777	7239
274	8799	7199
275	8819	7158
276	8842	7118
277	8864	7078
278	8884	7037
279	8908	6999
280	8931	6960
281	8951	6919
282	8974	6881
283	8999	6844
284	9023	6807
285	9045	6768
286	9070	6732
287	9093	6693
288	9119	6658
289	9139	6618
290	9162	6580
291	9185	6543
292	9210	6507
293	9233	6470
294	9255	6431
295	9276	6393
296	9302	6358
297	9324	6320
298	9350	6285
299	9369	6246
300	9391	6208
301	9412	6171
302	9435	6134
303	9455	6096
304	9481	6061
305	9500	6023
306	9523	5986
307	9548	5952
308	9567	5914
309	9590	5877
310	9616	5844
311	9640	5809
312	9663	5773
313	9688	5738
314	9709	5702
315	9731	5666
316	9752	5629
317	9770	5592
318	9795	5557
319	9818	5523
320	9849	5492
321	9870	5456
322	9893	5421
323	9913	5385
324	9938	5351
325	9962	5317
326	9986	5283
327	10008	5248
328	10035	5215
329	10057	5181
330	10079	5146
331	10101	5111
332	10125	5077
333	10148	5044
334	10168	5008
335	10192	4975
336	10218	4942
337	10238	4907
338	10267	4876
339	10292	4843
340	10317	4810
341	10338	4776
342	10361	4742
343	10387	4710
344	10407	4675
345	10431	4642
346	10451	4608
347	10471	4573
348	10492	4539
349	10516	4507
350	10537	4473
351	10558	4439
352	10587	4409
353	10607	4374
354	10635	4344
355	10660	4312
356	10685	4280
357	10707	4247
358	10731	4214
359	10754	4182
360	10781	4151
361	10801	4117
362	10826	4086
363	10848	4053
364	10869	4020
365	10890	3987
366	10917	3956
367	10939	3924
368	10963	3892
369	10988	3860
370	11013	3829
371	11039	3798
372	11067	3768
373	11088	3735
374	11116	3705
375	11137	3672
376	11166	3643
377	11193	3612
378	11216	3580
379	11246	3551
380	11274	3521
381	11296	3489
382	11325	3459
383	11347	3428
384	11373	3397
385	11398	3366
386	11421	3334
387	11447	3304
388	11476	3274
389	11498	3243
390	11522	3212
391	11547	3181
392	11571	3150
393	11593	3119
394	11620	3089
395	11645	3058
396	11671	3028
397	11694	2997
398	11719	2966
399	11740	2935
400	11767	2905
401	11788	2873
402	11810	2842
403	11836	2812
404	11860	2782
405	11886	2752
406	11911	2721
407	11933	2690
408	11957	2660
409	11979	2629
410	12002	2599
411	12024	2568
412	12048	2538
413	12073	2508
414	12093	2476
415	12115	2446
416	12139	2416
417	12159	2385
418	12181	2354
419	12204	2324
420	12226	2294
421	12249	2264
422	12270	2233
423	12290	2203
424	12310	2172
425	12333	2142
426	12354	2112
427	12377	2082
428	12398	2051
429	12421	2022
430	12441	1991
431	12463	1961
432	12483	1931
433	12505	1901
434	12527	1871
435	12552	1842
436	12575	1812
437	12594	1782
438	12615	1752
439	12636	1723
440	12659	1693
441	12681	1664
442	12705	1634
443	12731	1605
444	12751	1576
445	12774	1546
446	12799	1517
447	12824	1488
448	12847	1459
449	12877	1430
450	12898	1401
451	12920	1372
452	12943	1342
453	12989	1316
454	13039	1289
455	13059	1260
456	13087	1231
457	13111	1202
458	13134	1173
459	13157	1144
460	13182	1115
461	13203	1086
462	13224	1056
463	13245	1027
464	13266	998
465	13287	969
466	13310	940
467	13332	911
468	13353	882
469	13373	853
470	13397	824
471	13419	796
472	13441	767
473	13463	738
474	13486	709
475	13507	681
476	13520	651
477	13543	623
478	13569	594
479	13591	566
480	13613	537
481	13633	509
482	13656	480
483	13677	452
484	13700	423
485	13724	395
486	13750	367
487	13775	338
488	13795	310
489	13819	282
490	13841	253
491	13864	225
492	13885	197
493	13910	168
494	13933	140
495	13955	112
496	13978	84
497	13999	56
498	14022	28
499	14044	0
