Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12,Symptom_13,Symptom_14,Symptom_15,Symptom_16,Symptom_17,Disease_LabelEncoded
Fungal infection,itching, skin_rash, nodal_skin_eruptions, dischromic _patches,,,,,,,,,,,,,,15
Fungal infection, skin_rash, nodal_skin_eruptions, dischromic _patches,,,,,,,,,,,,,,,15
Fungal infection,itching, nodal_skin_eruptions, dischromic _patches,,,,,,,,,,,,,,,15
Fungal infection,itching, skin_rash, dischromic _patches,,,,,,,,,,,,,,,15
Fungal infection,itching, skin_rash, nodal_skin_eruptions,,,,,,,,,,,,,,,15
Fungal infection, skin_rash, nodal_skin_eruptions, dischromic _patches,,,,,,,,,,,,,,,15
Fungal infection,itching, nodal_skin_eruptions, dischromic _patches,,,,,,,,,,,,,,,15
Fungal infection,itching, skin_rash, dischromic _patches,,,,,,,,,,,,,,,15
Fungal infection,itching, skin_rash, nodal_skin_eruptions,,,,,,,,,,,,,,,15
Fungal infection,itching, skin_rash, nodal_skin_eruptions, dischromic _patches,,,,,,,,,,,,,,15
Allergy, continuous_sneezing, shivering, chills, watering_from_eyes,,,,,,,,,,,,,,4
Allergy, shivering, chills, watering_from_eyes,,,,,,,,,,,,,,,4
Allergy, continuous_sneezing, chills, watering_from_eyes,,,,,,,,,,,,,,,4
Allergy, continuous_sneezing, shivering, watering_from_eyes,,,,,,,,,,,,,,,4
Allergy, continuous_sneezing, shivering, chills,,,,,,,,,,,,,,,4
Allergy, shivering, chills, watering_from_eyes,,,,,,,,,,,,,,,4
Allergy, continuous_sneezing, chills, watering_from_eyes,,,,,,,,,,,,,,,4
Allergy, continuous_sneezing, shivering, watering_from_eyes,,,,,,,,,,,,,,,4
Allergy, continuous_sneezing, shivering, chills,,,,,,,,,,,,,,,4
Allergy, continuous_sneezing, shivering, chills, watering_from_eyes,,,,,,,,,,,,,,4
GERD, stomach_pain, acidity, ulcers_on_tongue, vomiting, cough, chest_pain,,,,,,,,,,,,16
GERD, stomach_pain, ulcers_on_tongue, vomiting, cough, chest_pain,,,,,,,,,,,,,16
GERD, stomach_pain, acidity, vomiting, cough, chest_pain,,,,,,,,,,,,,16
GERD, stomach_pain, acidity, ulcers_on_tongue, cough, chest_pain,,,,,,,,,,,,,16
GERD, stomach_pain, acidity, ulcers_on_tongue, vomiting, chest_pain,,,,,,,,,,,,,16
GERD, stomach_pain, acidity, ulcers_on_tongue, vomiting, cough,,,,,,,,,,,,,16
GERD, acidity, ulcers_on_tongue, vomiting, cough, chest_pain,,,,,,,,,,,,,16
GERD, stomach_pain, ulcers_on_tongue, vomiting, cough, chest_pain,,,,,,,,,,,,,16
GERD, stomach_pain, acidity, vomiting, cough, chest_pain,,,,,,,,,,,,,16
GERD, stomach_pain, acidity, ulcers_on_tongue, cough, chest_pain,,,,,,,,,,,,,16
Chronic cholestasis,itching, vomiting, yellowish_skin, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes,,,,,,,,,,,9
Chronic cholestasis, vomiting, yellowish_skin, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes,,,,,,,,,,,,9
Chronic cholestasis,itching, yellowish_skin, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes,,,,,,,,,,,,9
Chronic cholestasis,itching, vomiting, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes,,,,,,,,,,,,9
Chronic cholestasis,itching, vomiting, yellowish_skin, loss_of_appetite, abdominal_pain, yellowing_of_eyes,,,,,,,,,,,,9
Chronic cholestasis,itching, vomiting, yellowish_skin, nausea, abdominal_pain, yellowing_of_eyes,,,,,,,,,,,,9
Chronic cholestasis,itching, vomiting, yellowish_skin, nausea, loss_of_appetite, yellowing_of_eyes,,,,,,,,,,,,9
Chronic cholestasis,itching, vomiting, yellowish_skin, nausea, loss_of_appetite, abdominal_pain,,,,,,,,,,,,9
Chronic cholestasis,itching, vomiting, yellowish_skin, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes,,,,,,,,,,,9
Chronic cholestasis,itching, vomiting, yellowish_skin, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes,,,,,,,,,,,9
Drug Reaction,itching, skin_rash, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,,,,,14
Drug Reaction,itching, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,,,,,,14
Drug Reaction,itching, skin_rash, burning_micturition, spotting_ urination,,,,,,,,,,,,,,14
Drug Reaction,itching, skin_rash, stomach_pain, spotting_ urination,,,,,,,,,,,,,,14
Drug Reaction,itching, skin_rash, stomach_pain, burning_micturition,,,,,,,,,,,,,,14
Drug Reaction, skin_rash, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,,,,,,14
Drug Reaction,itching, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,,,,,,14
Drug Reaction,itching, skin_rash, burning_micturition, spotting_ urination,,,,,,,,,,,,,,14
Drug Reaction,itching, skin_rash, stomach_pain, spotting_ urination,,,,,,,,,,,,,,14
