,Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12,Symptom_13,Symptom_14,Symptom_15,Symptom_16,Symptom_17
0,3,27,70,54,35,32,8,44,25,30,48,75,75,75,75,75,75,75
2,3,70,54,35,32,8,44,25,30,48,75,75,75,75,75,75,75,75
3,3,27,54,35,32,8,44,25,30,48,75,75,75,75,75,75,75,75
4,3,27,70,35,32,8,44,25,30,48,75,75,75,75,75,75,75,75
5,3,27,70,54,32,8,44,25,30,48,75,75,75,75,75,75,75,75
6,3,27,70,54,35,8,44,25,30,48,75,75,75,75,75,75,75,75
7,3,27,70,54,35,32,44,25,30,48,75,75,75,75,75,75,75,75
8,3,27,70,54,35,32,8,25,30,48,75,75,75,75,75,75,75,75
9,3,27,70,54,35,32,8,44,30,48,75,75,75,75,75,75,75,75
10,10,2,31,28,8,25,60,20,33,67,75,75,75,75,75,75,75,75
11,10,31,28,8,25,60,20,33,67,75,75,75,75,75,75,75,75,75
12,10,2,28,8,25,60,20,33,67,75,75,75,75,75,75,75,75,75
13,10,2,31,8,25,60,20,33,67,75,75,75,75,75,75,75,75,75
14,10,2,31,28,25,60,20,33,67,75,75,75,75,75,75,75,75,75
15,10,2,31,28,8,60,20,33,67,75,75,75,75,75,75,75,75,75
16,10,2,31,28,8,25,20,33,67,75,75,75,75,75,75,75,75,75
17,10,2,31,28,8,25,60,33,67,75,75,75,75,75,75,75,75,75
18,10,2,31,28,8,25,60,20,67,75,75,75,75,75,75,75,75,75
19,10,2,31,28,8,25,60,20,33,75,75,75,75,75,75,75,75,75
20,0,74,58,27,35,29,28,36,39,63,38,52,75,75,75,75,75,75
21,0,58,27,35,29,28,36,39,63,38,52,75,75,75,75,75,75,75
22,0,74,27,35,29,28,36,39,63,38,52,75,75,75,75,75,75,75
23,0,74,58,35,29,28,36,39,63,38,52,75,75,75,75,75,75,75
24,0,74,58,27,29,28,36,39,63,38,52,75,75,75,75,75,75,75
25,0,74,58,27,35,28,36,39,63,38,52,75,75,75,75,75,75,75
26,0,74,58,27,35,29,36,39,63,38,52,75,75,75,75,75,75,75
27,0,74,58,27,35,29,28,39,63,38,52,75,75,75,75,75,75,75
28,0,74,58,27,35,29,28,36,63,38,52,75,75,75,75,75,75,75
29,0,74,58,27,35,29,28,36,39,38,52,75,75,75,75,75,75,75
30,2,58,12,34,68,27,29,28,43,36,45,5,41,52,75,75,75,75
31,2,58,12,34,68,27,29,28,43,36,45,5,38,52,75,75,75,75
32,2,58,12,34,68,27,29,28,43,36,45,5,38,41,75,75,75,75
33,2,58,12,34,68,27,29,28,43,36,45,5,38,41,52,75,75,75
34,2,12,34,68,27,29,28,43,36,45,5,38,41,52,75,75,75,75
35,2,58,34,68,27,29,28,43,36,45,5,38,41,52,75,75,75,75
36,2,58,12,68,27,29,28,43,36,45,5,38,41,52,75,75,75,75
37,2,58,12,34,27,29,28,43,36,45,5,38,41,52,75,75,75,75
38,2,58,12,34,68,29,28,43,36,45,5,38,41,52,75,75,75,75
39,2,58,12,34,68,27,28,43,36,45,5,38,41,52,75,75,75,75
40,13,12,68,27,29,43,16,0,21,66,6,75,75,75,75,75,75,75
41,13,12,68,27,29,28,16,0,21,66,6,75,75,75,75,75,75,75
42,13,12,68,27,29,28,43,0,21,66,6,75,75,75,75,75,75,75
43,13,12,68,27,29,28,43,16,21,66,6,75,75,75,75,75,75,75
44,13,12,68,27,29,28,43,16,0,66,6,75,75,75,75,75,75,75
45,13,12,68,27,29,28,43,16,0,21,6,75,75,75,75,75,75,75
46,13,12,68,27,29,28,43,16,0,21,66,75,75,75,75,75,75,75
47,13,12,68,27,29,28,43,16,0,21,66,6,75,75,75,75,75,75
49,13,12,27,29,28,43,16,0,21,66,6,75,75,75,75,75,75,75
50,14,34,68,73,19,43,36,0,21,39,72,41,75,75,75,75,75,75
52,14,68,73,19,43,36,0,21,39,72,41,75,75,75,75,75,75,75
53,14,34,73,19,43,36,0,21,39,72,41,75,75,75,75,75,75,75
54,14,34,68,19,43,36,0,21,39,72,41,75,75,75,75,75,75,75
55,14,34,68,73,43,36,0,21,39,72,41,75,75,75,75,75,75,75
