Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12,Symptom_13,Symptom_14,Symptom_15,Symptom_16,Symptom_17
Fungal infection,itching, skin_rash, nodal_skin_eruptions, dischromic _patches,none,none,none,none,none,none,none,none,none,none,none,none,none
Fungal infection, skin_rash, nodal_skin_eruptions, dischromic _patches,none,none,none,none,none,none,none,none,none,none,none,none,none,none
Fungal infection,itching, nodal_skin_eruptions, dischromic _patches,none,none,none,none,none,none,none,none,none,none,none,none,none,none
Fungal infection,itching, skin_rash, dischromic _patches,none,none,none,none,none,none,none,none,none,none,none,none,none,none
Fungal infection,itching, skin_rash, nodal_skin_eruptions,none,none,none,none,none,none,none,none,none,none,none,none,none,none
Allergy, continuous_sneezing, shivering, chills, watering_from_eyes,none,none,none,none,none,none,none,none,none,none,none,none,none
Allergy, shivering, chills, watering_from_eyes,none,none,none,none,none,none,none,none,none,none,none,none,none,none
Allergy, continuous_sneezing, chills, watering_from_eyes,none,none,none,none,none,none,none,none,none,none,none,none,none,none
Allergy, continuous_sneezing, shivering, watering_from_eyes,none,none,none,none,none,none,none,none,none,none,none,none,none,none
Allergy, continuous_sneezing, shivering, chills,none,none,none,none,none,none,none,none,none,none,none,none,none,none
GERD, stomach_pain, acidity, ulcers_on_tongue, vomiting, cough, chest_pain,none,none,none,none,none,none,none,none,none,none,none
GERD, stomach_pain, ulcers_on_tongue, vomiting, cough, chest_pain,none,none,none,none,none,none,none,none,none,none,none,none
GERD, stomach_pain, acidity, vomiting, cough, chest_pain,none,none,none,none,none,none,none,none,none,none,none,none
GERD, stomach_pain, acidity, ulcers_on_tongue, cough, chest_pain,none,none,none,none,none,none,none,none,none,none,none,none
GERD, stomach_pain, acidity, ulcers_on_tongue, vomiting, chest_pain,none,none,none,none,none,none,none,none,none,none,none,none
GERD, stomach_pain, acidity, ulcers_on_tongue, vomiting, cough,none,none,none,none,none,none,none,none,none,none,none,none
GERD, acidity, ulcers_on_tongue, vomiting, cough, chest_pain,none,none,none,none,none,none,none,none,none,none,none,none
Chronic cholestasis,itching, vomiting, yellowish_skin, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes,none,none,none,none,none,none,none,none,none,none
Chronic cholestasis, vomiting, yellowish_skin, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes,none,none,none,none,none,none,none,none,none,none,none
Chronic cholestasis,itching, yellowish_skin, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes,none,none,none,none,none,none,none,none,none,none,none
Chronic cholestasis,itching, vomiting, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes,none,none,none,none,none,none,none,none,none,none,none
Chronic cholestasis,itching, vomiting, yellowish_skin, loss_of_appetite, abdominal_pain, yellowing_of_eyes,none,none,none,none,none,none,none,none,none,none,none
Chronic cholestasis,itching, vomiting, yellowish_skin, nausea, abdominal_pain, yellowing_of_eyes,none,none,none,none,none,none,none,none,none,none,none
Chronic cholestasis,itching, vomiting, yellowish_skin, nausea, loss_of_appetite, yellowing_of_eyes,none,none,none,none,none,none,none,none,none,none,none
Chronic cholestasis,itching, vomiting, yellowish_skin, nausea, loss_of_appetite, abdominal_pain,none,none,none,none,none,none,none,none,none,none,none
Drug Reaction,itching, skin_rash, stomach_pain, burning_micturition, spotting_ urination,none,none,none,none,none,none,none,none,none,none,none,none
Drug Reaction,itching, stomach_pain, burning_micturition, spotting_ urination,none,none,none,none,none,none,none,none,none,none,none,none,none
Drug Reaction,itching, skin_rash, burning_micturition, spotting_ urination,none,none,none,none,none,none,none,none,none,none,none,none,none
Drug Reaction,itching, skin_rash, stomach_pain, spotting_ urination,none,none,none,none,none,none,none,none,none,none,none,none,none
Drug Reaction,itching, skin_rash, stomach_pain, burning_micturition,none,none,none,none,none,none,none,none,none,none,none,none,none
Drug Reaction, skin_rash, stomach_pain, burning_micturition, spotting_ urination,none,none,none,none,none,none,none,none,none,none,none,none,none
Peptic ulcer diseae, vomiting, loss_of_appetite, abdominal_pain, passage_of_gases, internal_itching,none,none,none,none,none,none,none,none,none,none,none,none
Peptic ulcer diseae, vomiting, indigestion, abdominal_pain, passage_of_gases, internal_itching,none,none,none,none,none,none,none,none,none,none,none,none
Peptic ulcer diseae, indigestion, loss_of_appetite, abdominal_pain, passage_of_gases, internal_itching,none,none,none,none,none,none,none,none,none,none,none,none
Peptic ulcer diseae, vomiting, indigestion, loss_of_appetite, passage_of_gases, internal_itching,none,none,none,none,none,none,none,none,none,none,none,none
Peptic ulcer diseae, vomiting, indigestion, loss_of_appetite, abdominal_pain, internal_itching,none,none,none,none,none,none,none,none,none,none,none,none
Peptic ulcer diseae, vomiting, indigestion, loss_of_appetite, abdominal_pain, passage_of_gases,none,none,none,none,none,none,none,none,none,none,none,none
Peptic ulcer diseae, vomiting, indigestion, loss_of_appetite, abdominal_pain, passage_of_gases, internal_itching,none,none,none,none,none,none,none,none,none,none,none
AIDS, muscle_wasting, patches_in_throat, high_fever, extra_marital_contacts,none,none,none,none,none,none,none,none,none,none,none,none,none
AIDS, patches_in_throat, high_fever, extra_marital_contacts,none,none,none,none,none,none,none,none,none,none,none,none,none,none
AIDS, muscle_wasting, high_fever, extra_marital_contacts,none,none,none,none,none,none,none,none,none,none,none,none,none,none
AIDS, muscle_wasting, patches_in_throat, extra_marital_contacts,none,none,none,none,none,none,none,none,none,none,none,none,none,none
AIDS, muscle_wasting, patches_in_throat, high_fever,none,none,none,none,none,none,none,none,none,none,none,none,none,none
Diabetes , fatigue, weight_loss, restlessness, lethargy, irregular_sugar_level, blurred_and_distorted_vision, obesity, excessive_hunger, increased_appetite, polyuria,none,none,none,none,none,none,none
Diabetes , weight_loss, restlessness, lethargy, irregular_sugar_level, blurred_and_distorted_vision, obesity, excessive_hunger, increased_appetite, polyuria,none,none,none,none,none,none,none,none
Diabetes , fatigue, restlessness, lethargy, irregular_sugar_level, blurred_and_distorted_vision, obesity, excessive_hunger, increased_appetite, polyuria,none,none,none,none,none,none,none,none
Diabetes , fatigue, weight_loss, lethargy, irregular_sugar_level, blurred_and_distorted_vision, obesity, excessive_hunger, increased_appetite, polyuria,none,none,none,none,none,none,none,none
Diabetes , fatigue, weight_loss, restlessness, irregular_sugar_level, blurred_and_distorted_vision, obesity, excessive_hunger, increased_appetite, polyuria,none,none,none,none,none,none,none,none
Diabetes , fatigue, weight_loss, restlessness, lethargy, blurred_and_distorted_vision, obesity, excessive_hunger, increased_appetite, polyuria,none,none,none,none,none,none,none,none
Diabetes , fatigue, weight_loss, restlessness, lethargy, irregular_sugar_level, obesity, excessive_hunger, increased_appetite, polyuria,none,none,none,none,none,none,none,none
Diabetes , fatigue, weight_loss, restlessness, lethargy, irregular_sugar_level, blurred_and_distorted_vision, excessive_hunger, increased_appetite, polyuria,none,none,none,none,none,none,none,none
Diabetes , fatigue, weight_loss, restlessness, lethargy, irregular_sugar_level, blurred_and_distorted_vision, obesity, increased_appetite, polyuria,none,none,none,none,none,none,none,none
Gastroenteritis, vomiting, sunken_eyes, dehydration, diarrhoea,none,none,none,none,none,none,none,none,none,none,none,none,none
Gastroenteritis, sunken_eyes, dehydration, diarrhoea,none,none,none,none,none,none,none,none,none,none,none,none,none,none
Gastroenteritis, vomiting, dehydration, diarrhoea,none,none,none,none,none,none,none,none,none,none,none,none,none,none
Gastroenteritis, vomiting, sunken_eyes, diarrhoea,none,none,none,none,none,none,none,none,none,none,none,none,none,none
Gastroenteritis, vomiting, sunken_eyes, dehydration,none,none,none,none,none,none,none,none,none,none,none,none,none,none
Bronchial Asthma, fatigue, cough, high_fever, breathlessness, family_history, mucoid_sputum,none,none,none,none,none,none,none,none,none,none,none
Bronchial Asthma, cough, high_fever, breathlessness, family_history, mucoid_sputum,none,none,none,none,none,none,none,none,none,none,none,none
Bronchial Asthma, fatigue, high_fever, breathlessness, family_history, mucoid_sputum,none,none,none,none,none,none,none,none,none,none,none,none
Bronchial Asthma, fatigue, cough, breathlessness, family_history, mucoid_sputum,none,none,none,none,none,none,none,none,none,none,none,none
Bronchial Asthma, fatigue, cough, high_fever, family_history, mucoid_sputum,none,none,none,none,none,none,none,none,none,none,none,none
Bronchial Asthma, fatigue, cough, high_fever, breathlessness, mucoid_sputum,none,none,none,none,none,none,none,none,none,none,none,none
Bronchial Asthma, fatigue, cough, high_fever, breathlessness, family_history,none,none,none,none,none,none,none,none,none,none,none,none
Hypertension , headache, chest_pain, dizziness, loss_of_balance, lack_of_concentration,none,none,none,none,none,none,none,none,none,none,none,none
Hypertension , chest_pain, dizziness, loss_of_balance, lack_of_concentration,none,none,none,none,none,none,none,none,none,none,none,none,none
Hypertension , headache, dizziness, loss_of_balance, lack_of_concentration,none,none,none,none,none,none,none,none,none,none,none,none,none
Hypertension , headache, chest_pain, loss_of_balance, lack_of_concentration,none,none,none,none,none,none,none,none,none,none,none,none,none
Hypertension , headache, chest_pain, dizziness, lack_of_concentration,none,none,none,none,none,none,none,none,none,none,none,none,none
Hypertension , headache, chest_pain, dizziness, loss_of_balance,none,none,none,none,none,none,none,none,none,none,none,none,none
Migraine, acidity, indigestion, headache, blurred_and_distorted_vision, excessive_hunger, stiff_neck, depression, irritability, visual_disturbances,none,none,none,none,none,none,none,none
Migraine, indigestion, headache, blurred_and_distorted_vision, excessive_hunger, stiff_neck, depression, irritability, visual_disturbances,none,none,none,none,none,none,none,none,none
Migraine, acidity, headache, blurred_and_distorted_vision, excessive_hunger, stiff_neck, depression, irritability, visual_disturbances,none,none,none,none,none,none,none,none,none
Migraine, acidity, indigestion, blurred_and_distorted_vision, excessive_hunger, stiff_neck, depression, irritability, visual_disturbances,none,none,none,none,none,none,none,none,none
Migraine, acidity, indigestion, headache, excessive_hunger, stiff_neck, depression, irritability, visual_disturbances,none,none,none,none,none,none,none,none,none
Migraine, acidity, indigestion, headache, blurred_and_distorted_vision, stiff_neck, depression, irritability, visual_disturbances,none,none,none,none,none,none,none,none,none
