,Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12,Symptom_13,Symptom_14,Symptom_15,Symptom_16,Symptom_17
0,Fungal infection,itching, skin_rash, nodal_skin_eruptions, dischromic _patches,none,none,none,none,none,none,none,none,none,none,none,none,none
1,Fungal infection, skin_rash, nodal_skin_eruptions, dischromic _patches,none,none,none,none,none,none,none,none,none,none,none,none,none,none
2,Fungal infection,itching, nodal_skin_eruptions, dischromic _patches,none,none,none,none,none,none,none,none,none,none,none,none,none,none
3,Fungal infection,itching, skin_rash, dischromic _patches,none,none,none,none,none,none,none,none,none,none,none,none,none,none
4,Fungal infection,itching, skin_rash, nodal_skin_eruptions,none,none,none,none,none,none,none,none,none,none,none,none,none,none
5,Fungal infection, skin_rash, nodal_skin_eruptions, dischromic _patches,none,none,none,none,none,none,none,none,none,none,none,none,none,none
6,Fungal infection,itching, nodal_skin_eruptions, dischromic _patches,none,none,none,none,none,none,none,none,none,none,none,none,none,none
7,Fungal infection,itching, skin_rash, dischromic _patches,none,none,none,none,none,none,none,none,none,none,none,none,none,none
8,Fungal infection,itching, skin_rash, nodal_skin_eruptions,none,none,none,none,none,none,none,none,none,none,none,none,none,none
9,Fungal infection,itching, skin_rash, nodal_skin_eruptions, dischromic _patches,none,none,none,none,none,none,none,none,none,none,none,none,none
10,Allergy, continuous_sneezing, shivering, chills, watering_from_eyes,none,none,none,none,none,none,none,none,none,none,none,none,none
11,Allergy, shivering, chills, watering_from_eyes,none,none,none,none,none,none,none,none,none,none,none,none,none,none
12,Allergy, continuous_sneezing, chills, watering_from_eyes,none,none,none,none,none,none,none,none,none,none,none,none,none,none
13,Allergy, continuous_sneezing, shivering, watering_from_eyes,none,none,none,none,none,none,none,none,none,none,none,none,none,none
14,Allergy, continuous_sneezing, shivering, chills,none,none,none,none,none,none,none,none,none,none,none,none,none,none
15,Allergy, shivering, chills, watering_from_eyes,none,none,none,none,none,none,none,none,none,none,none,none,none,none
16,Allergy, continuous_sneezing, chills, watering_from_eyes,none,none,none,none,none,none,none,none,none,none,none,none,none,none
17,Allergy, continuous_sneezing, shivering, watering_from_eyes,none,none,none,none,none,none,none,none,none,none,none,none,none,none
18,Allergy, continuous_sneezing, shivering, chills,none,none,none,none,none,none,none,none,none,none,none,none,none,none
19,Allergy, continuous_sneezing, shivering, chills, watering_from_eyes,none,none,none,none,none,none,none,none,none,none,none,none,none
20,GERD, stomach_pain, acidity, ulcers_on_tongue, vomiting, cough, chest_pain,none,none,none,none,none,none,none,none,none,none,none
21,GERD, stomach_pain, ulcers_on_tongue, vomiting, cough, chest_pain,none,none,none,none,none,none,none,none,none,none,none,none
22,GERD, stomach_pain, acidity, vomiting, cough, chest_pain,none,none,none,none,none,none,none,none,none,none,none,none
23,GERD, stomach_pain, acidity, ulcers_on_tongue, cough, chest_pain,none,none,none,none,none,none,none,none,none,none,none,none
24,GERD, stomach_pain, acidity, ulcers_on_tongue, vomiting, chest_pain,none,none,none,none,none,none,none,none,none,none,none,none
25,GERD, stomach_pain, acidity, ulcers_on_tongue, vomiting, cough,none,none,none,none,none,none,none,none,none,none,none,none
26,GERD, acidity, ulcers_on_tongue, vomiting, cough, chest_pain,none,none,none,none,none,none,none,none,none,none,none,none
27,GERD, stomach_pain, ulcers_on_tongue, vomiting, cough, chest_pain,none,none,none,none,none,none,none,none,none,none,none,none
28,GERD, stomach_pain, acidity, vomiting, cough, chest_pain,none,none,none,none,none,none,none,none,none,none,none,none
29,GERD, stomach_pain, acidity, ulcers_on_tongue, cough, chest_pain,none,none,none,none,none,none,none,none,none,none,none,none
30,Chronic cholestasis,itching, vomiting, yellowish_skin, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes,none,none,none,none,none,none,none,none,none,none
