,Disease,Symptom_Count,Symptoms,Disease_Encoded,Symptom_Encoded
0,Diabetes ,10,"[' fatigue', ' weight_loss', ' restlessness', ' lethargy', ' irregular_sugar_level', ' blurred_and_distorted_vision', ' obesity', ' excessive_hunger', ' increased_appetite', ' polyuria']",3,"[27, 70, 54, 35, 32, 8, 44, 25, 30, 48]"
1,Diabetes ,10,"[' fatigue', ' weight_loss', ' restlessness', ' lethargy', ' irregular_sugar_level', ' blurred_and_distorted_vision', ' obesity', ' excessive_hunger', ' increased_appetite', ' polyuria']",3,"[27, 70, 54, 35, 32, 8, 44, 25, 30, 48]"
2,Diabetes ,9,"[' weight_loss', ' restlessness', ' lethargy', ' irregular_sugar_level', ' blurred_and_distorted_vision', ' obesity', ' excessive_hunger', ' increased_appetite', ' polyuria']",3,"[70, 54, 35, 32, 8, 44, 25, 30, 48]"
3,Diabetes ,9,"[' fatigue', ' restlessness', ' lethargy', ' irregular_sugar_level', ' blurred_and_distorted_vision', ' obesity', ' excessive_hunger', ' increased_appetite', ' polyuria']",3,"[27, 54, 35, 32, 8, 44, 25, 30, 48]"
4,Diabetes ,9,"[' fatigue', ' weight_loss', ' lethargy', ' irregular_sugar_level', ' blurred_and_distorted_vision', ' obesity', ' excessive_hunger', ' increased_appetite', ' polyuria']",3,"[27, 70, 35, 32, 8, 44, 25, 30, 48]"
5,Diabetes ,9,"[' fatigue', ' weight_loss', ' restlessness', ' irregular_sugar_level', ' blurred_and_distorted_vision', ' obesity', ' excessive_hunger', ' increased_appetite', ' polyuria']",3,"[27, 70, 54, 32, 8, 44, 25, 30, 48]"
6,Diabetes ,9,"[' fatigue', ' weight_loss', ' restlessness', ' lethargy', ' blurred_and_distorted_vision', ' obesity', ' excessive_hunger', ' increased_appetite', ' polyuria']",3,"[27, 70, 54, 35, 8, 44, 25, 30, 48]"
7,Diabetes ,9,"[' fatigue', ' weight_loss', ' restlessness', ' lethargy', ' irregular_sugar_level', ' obesity', ' excessive_hunger', ' increased_appetite', ' polyuria']",3,"[27, 70, 54, 35, 32, 44, 25, 30, 48]"
8,Diabetes ,9,"[' fatigue', ' weight_loss', ' restlessness', ' lethargy', ' irregular_sugar_level', ' blurred_and_distorted_vision', ' excessive_hunger', ' increased_appetite', ' polyuria']",3,"[27, 70, 54, 35, 32, 8, 25, 30, 48]"
9,Diabetes ,9,"[' fatigue', ' weight_loss', ' restlessness', ' lethargy', ' irregular_sugar_level', ' blurred_and_distorted_vision', ' obesity', ' increased_appetite', ' polyuria']",3,"[27, 70, 54, 35, 32, 8, 44, 30, 48]"
10,Migraine,9,"[' acidity', ' indigestion', ' headache', ' blurred_and_distorted_vision', ' excessive_hunger', ' stiff_neck', ' depression', ' irritability', ' visual_disturbances']",10,"[2, 31, 28, 8, 25, 60, 20, 33, 67]"
11,Migraine,8,"[' indigestion', ' headache', ' blurred_and_distorted_vision', ' excessive_hunger', ' stiff_neck', ' depression', ' irritability', ' visual_disturbances']",10,"[31, 28, 8, 25, 60, 20, 33, 67]"
12,Migraine,8,"[' acidity', ' headache', ' blurred_and_distorted_vision', ' excessive_hunger', ' stiff_neck', ' depression', ' irritability', ' visual_disturbances']",10,"[2, 28, 8, 25, 60, 20, 33, 67]"
