Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12,Symptom_13,Symptom_14,Symptom_15,Symptom_16,Symptom_17,Disease
55,120,129,28,59,0,31,63,128,67,131,131,131,131,131,131,131,40
99,55,98,96,50,131,131,131,131,131,131,131,131,131,131,131,131,35
41,64,125,91,31,40,37,69,53,1,131,131,131,131,131,131,131,24
99,19,55,120,41,45,44,70,59,74,6,62,67,89,131,131,131,11
19,120,45,108,44,70,31,67,131,131,131,131,131,131,131,131,131,29
23,75,76,12,54,131,131,131,131,131,131,131,131,131,131,131,131,13
19,120,45,44,70,31,67,131,131,131,131,131,131,131,131,131,131,29
55,120,41,129,28,70,59,128,131,131,131,131,131,131,131,131,131,21
99,85,8,94,131,131,131,131,131,131,131,131,131,131,131,131,131,2
41,27,16,73,114,112,131,131,131,131,131,131,131,131,131,131,131,39
99,19,55,120,45,44,70,59,74,6,62,67,89,131,131,131,131,11
41,26,45,14,66,131,131,131,131,131,131,131,131,131,131,131,131,6
19,41,125,26,45,14,108,59,63,128,109,62,81,18,11,131,131,36
2,49,44,13,37,104,30,119,131,131,131,131,131,131,131,131,131,30
68,80,38,131,131,131,131,131,131,131,131,131,131,131,131,131,131,1
99,55,96,101,50,131,131,131,131,131,131,131,131,131,131,131,131,35
120,41,125,26,45,14,108,59,63,128,109,62,81,18,11,131,131,36
130,99,58,45,44,59,63,109,62,89,131,131,131,131,131,131,131,8
120,123,4,131,131,131,131,131,131,131,131,131,131,131,131,131,131,32
49,44,13,37,104,30,53,119,131,131,131,131,131,131,131,131,131,30
120,49,59,0,51,131,131,131,131,131,131,131,131,131,131,131,131,33
25,19,41,26,45,44,109,62,81,115,90,97,92,22,18,61,67,10
17,9,24,131,131,131,131,131,131,131,131,131,131,131,131,131,131,38
25,19,41,26,44,109,62,81,115,90,97,92,22,18,61,67,131,10
130,41,58,129,28,59,0,127,128,62,86,87,131,131,131,131,131,19
120,41,125,45,129,28,0,131,131,131,131,131,131,131,131,131,131,28
44,18,34,60,131,131,131,131,131,131,131,131,131,131,131,131,131,23
120,108,18,131,131,131,131,131,131,131,131,131,131,131,131,131,131,18
130,99,106,17,131,131,131,131,131,131,131,131,131,131,131,131,131,14
130,99,41,45,44,59,63,109,62,89,131,131,131,131,131,131,131,8
99,98,96,101,50,131,131,131,131,131,131,131,131,131,131,131,131,35
41,58,129,28,59,0,127,128,62,86,87,131,131,131,131,131,131,19
130,99,106,103,131,131,131,131,131,131,131,131,131,131,131,131,131,14
120,41,5,108,70,13,37,35,100,53,78,131,131,131,131,131,131,25
27,16,73,114,112,83,131,131,131,131,131,131,131,131,131,131,131,39
120,14,108,18,131,131,131,131,131,131,131,131,131,131,131,131,131,18
120,49,59,79,51,131,131,131,131,131,131,131,131,131,131,131,131,33
120,44,70,102,60,131,131,131,131,131,131,131,131,131,131,131,131,0
69,104,110,65,77,131,131,131,131,131,131,131,131,131,131,131,131,5
2,117,120,26,18,131,131,131,131,131,131,131,131,131,131,131,131,16
75,76,12,54,131,131,131,131,131,131,131,131,131,131,131,131,131,13
55,120,41,45,129,28,59,0,128,3,21,105,131,131,131,131,131,22
55,98,96,101,50,131,131,131,131,131,131,131,131,131,131,131,131,35
106,2,120,26,18,131,131,131,131,131,131,131,131,131,131,131,131,16
19,41,26,45,14,108,62,81,18,40,93,131,131,131,131,131,131,34
41,125,91,58,13,73,37,48,82,131,131,131,131,131,131,131,131,12
55,71,56,110,77,131,131,131,131,131,131,131,131,131,131,131,131,31
120,107,31,131,131,131,131,131,131,131,131,131,131,131,131,131,131,17
26,45,14,39,66,131,131,131,131,131,131,131,131,131,131,131,131,6
41,125,58,52,13,73,37,48,82,131,131,131,131,131,131,131,131,12
41,91,58,52,13,73,37,48,82,131,131,131,131,131,131,131,131,12
120,44,70,102,118,131,131,131,131,131,131,131,131,131,131,131,131,0
55,71,56,46,110,131,131,131,131,131,131,131,131,131,131,131,131,31
85,8,94,131,131,131,131,131,131,131,131,131,131,131,131,131,131,2
19,120,41,45,44,70,23,31,116,7,131,131,131,131,131,131,131,37
25,95,19,131,131,131,131,131,131,131,131,131,131,131,131,131,131,4
23,75,12,54,131,131,131,131,131,131,131,131,131,131,131,131,131,13
23,76,12,54,131,131,131,131,131,131,131,131,131,131,131,131,131,13
19,120,41,125,26,45,14,59,63,128,109,62,81,18,11,131,131,36
55,120,41,129,28,70,59,0,131,131,131,131,131,131,131,131,131,21
41,125,91,58,52,13,73,48,82,131,131,131,131,131,131,131,131,12
130,99,72,131,131,131,131,131,131,131,131,131,131,131,131,131,131,15
99,55,98,101,50,131,131,131,131,131,131,131,131,131,131,131,131,35
41,64,125,91,108,31,40,37,69,53,1,131,131,131,131,131,131,24
55,120,41,28,70,59,0,128,131,131,131,131,131,131,131,131,131,21
19,120,41,45,44,23,0,31,116,7,131,131,131,131,131,131,131,37
120,0,111,33,47,42,131,131,131,131,131,131,131,131,131,131,131,3
