iter	MultiClass
0	3.630349834
1	3.548145826
2	3.470606686
3	3.38560494
4	3.293489408
5	3.221094463
6	3.149854611
7	3.05914897
8	2.990218543
9	2.913706626
10	2.853302634
11	2.787042754
12	2.728140777
13	2.672496971
14	2.577714519
15	2.505860122
16	2.432803828
17	2.36873923
18	2.302791393
19	2.24121327
20	2.199134511
21	2.137446475
22	2.08035243
23	2.023532408
24	1.981506994
25	1.933286114
26	1.904431909
27	1.853665596
28	1.823888827
29	1.775686058
30	1.735440214
31	1.714721653
32	1.673599857
33	1.639655462
34	1.615809903
35	1.589486705
36	1.559213681
37	1.530081564
38	1.501161853
39	1.465909926
40	1.43885314
41	1.41231015
42	1.390399481
43	1.359975588
44	1.325835522
45	1.310133009
46	1.281421666
47	1.250507644
48	1.224803556
49	1.195194925
50	1.164091947
51	1.140455067
52	1.118454185
53	1.091595433
54	1.06637164
55	1.043040681
56	1.017347014
57	0.9957065951
58	0.9763259773
59	0.9546015906
60	0.9368423104
61	0.9258452247
62	0.9055899293
63	0.8923333629
64	0.8722769489
65	0.852430888
66	0.8327740922
67	0.8158430681
68	0.7983571484
69	0.7827297114
70	0.7671338639
71	0.7523928076
72	0.7355539177
73	0.7221245547
74	0.7085913817
75	0.6971837585
76	0.6836615548
77	0.6696374905
78	0.6568629327
79	0.6440844164
80	0.6364709482
81	0.6269786589
82	0.6162432347
83	0.6054031303
84	0.5950613745
85	0.5844720921
86	0.5740254595
87	0.5625337797
88	0.5526493414
89	0.5427668208
90	0.5343086936
91	0.5245187263
92	0.5140615454
93	0.5058659449
94	0.4977152256
95	0.4903840009
96	0.4833883617
97	0.4761109371
98	0.4696409459
99	0.4627839093
100	0.4563323185
101	0.4500421112
102	0.4438375354
103	0.4376495409
104	0.4318694169
105	0.4267588649
106	0.4198662752
107	0.4142877945
108	0.4083871821
109	0.4028680349
110	0.3966850427
111	0.3912325424
112	0.3873273323
113	0.3840234778
114	0.3788492203
115	0.3736173824
116	0.3685583082
117	0.3650378087
118	0.3605107607
119	0.3560032343
120	0.3513645103
121	0.3486172906
122	0.3448363602
123	0.3434746348
124	0.3406941872
125	0.3384899809
126	0.334278742
127	0.3306370362
128	0.3279409403
129	0.3242403757
130	0.3207624792
131	0.3177235326
132	0.3139200157
133	0.3124906024
134	0.3091296749
135	0.3060599795
136	0.3036422215
137	0.3009472697
138	0.2975176305
139	0.294931431
140	0.2921597876
141	0.2891895269
142	0.2862549868
143	0.2827418699
144	0.2789957217
145	0.2759228262
146	0.2729290152
147	0.2706438508
148	0.2675150841
149	0.2647173916
150	0.2619365765
151	0.2596198636
152	0.257299895
153	0.255057695
154	0.2526855467
155	0.2506905383
156	0.2488396832
157	0.2465050515
158	0.2445569587
159	0.2424677032
160	0.2401916616
161	0.2380027698
162	0.2359600667
163	0.2337362809
164	0.2325158397
165	0.2309117913
166	0.2290149133
167	0.2274326189
168	0.2255410136
169	0.2237051576
170	0.2218833203
171	0.2196277362
172	0.2175706607
173	0.2155986531
174	0.2135568447
175	0.212136396
176	0.2105782903
177	0.2092490797
178	0.2079076024
179	0.2063395495
180	0.2044226732
181	0.2025241186
182	0.2012301394
183	0.2001476584
184	0.198918363
185	0.1975799792
186	0.1958969929
187	0.1942690635
188	0.1931391928
189	0.1916801942
190	0.1901444202
191	0.1888189322
192	0.1876649817
193	0.1860470771
194	0.1845160198
195	0.1835485639
196	0.1824913842
197	0.1813254456
198	0.1800262482
199	0.1786312518
200	0.177299968
201	0.1759887624
202	0.1745871687
203	0.1731247407
204	0.1722337264
205	0.1710176186
206	0.1700794535
207	0.168945288
208	0.1677157855
209	0.1666975989
210	0.1655753374
211	0.1645921026
212	0.1634468736
213	0.1619477279
214	0.1610774906
215	0.1597653214
216	0.1586916285
217	0.1578575527
218	0.1570109604
219	0.1556865968
220	0.155104035
221	0.1543415243
222	0.1532523197
223	0.1522165777
224	0.1513682093
225	0.1506918338
226	0.1496217993
227	0.1486263669
228	0.1475325169
229	0.1465820092
230	0.1456142056
231	0.1448963702
232	0.1440408096
233	0.1431354327
234	0.1424194906
235	0.1415317792
236	0.1408480406
237	0.1400558614
238	0.1392966457
239	0.138377267
240	0.1376352766
241	0.1368629118
242	0.1362273568
243	0.1352878559
244	0.134508018
245	0.133818555
246	0.1330346215
247	0.1323587749
248	0.1318513519
249	0.1311824146
250	0.130251575
251	0.1296390673
252	0.1289865085
253	0.1280971864
254	0.1275507566
255	0.1267403722
256	0.1259694192
257	0.1252610598
258	0.1245352415
259	0.1239556729
260	0.123293066
261	0.1226464211
262	0.1221053346
263	0.1214922555
264	0.120826585
265	0.1201565114
266	0.1196879049
267	0.119195705
268	0.1186156084
269	0.1179724644
270	0.11738413
271	0.1168635782
272	0.1161082529
273	0.1155718066
274	0.1149503709
275	0.1143097395
276	0.1136247497
277	0.1131691006
278	0.1126838618
279	0.1121289684
280	0.1116161204
281	0.1110659157
282	0.1104780209
283	0.1099279129
284	0.1093542147
285	0.1088353759
286	0.1082171627
287	0.1077656503
288	0.1072593161
289	0.1067407288
290	0.106116469
291	0.1056666784
292	0.1051907673
293	0.1046180178
294	0.1041218456
295	0.1039163101
296	0.1034706041
297	0.1027860253
298	0.1024483262
299	0.1019584054
300	0.1014546843
301	0.1009539399
302	0.1004027854
303	0.09993516433
304	0.09947940745
305	0.09915082646
306	0.09868393772
307	0.09825079778
308	0.09777102043
309	0.09722451829
310	0.09673650235
311	0.09628477598
312	0.09576737167
313	0.09528447843
314	0.09480915266
315	0.0943812599
316	0.09398661283
317	0.09359491594
318	0.09318972313
319	0.09285967006
320	0.09246873255
321	0.09208105712
322	0.09170906915
323	0.09127000403
324	0.09096019533
325	0.09063533317
326	0.09026615965
327	0.08989734797
328	0.08951921191
329	0.08917807932
330	0.08888952718
331	0.08851328933
332	0.08814653756
333	0.08772009626
334	0.08743308781
335	0.08705849627
336	0.0866311569
337	0.08627325649
338	0.08602154451
339	0.08557681921
340	0.0851857347
341	0.08482925564
342	0.08447468556
343	0.08410599852
344	0.08368634846
345	0.08345498771
346	0.0831196028
347	0.08285336377
348	0.08249838643
349	0.08212355404
350	0.08172717201
351	0.08136300575
352	0.08108993785
353	0.08077570215
354	0.08051645495
355	0.08017618965
356	0.07983785228
357	0.07953985341
358	0.07914977749
359	0.07884377217
360	0.0785961073
361	0.07830884179
362	0.07793696702
363	0.07764841082
364	0.07735807501
365	0.07701057088
366	0.07670347201
367	0.07639059886
368	0.07611893884
369	0.07584669344
370	0.07560568424
371	0.07534271942
372	0.07501261297
373	0.0747809785
374	0.07447428822
375	0.07414901795
376	0.0738574304
377	0.07362486222
378	0.07333120357
379	0.07306096356
380	0.07280391645
381	0.07262390119
382	0.07245989208
383	0.07221746354
384	0.07193914721
385	0.07171341561
386	0.07155256785
387	0.07132590443
388	0.07108912095
389	0.07082222065
390	0.07063261449
391	0.07039906718
392	0.07010597044
393	0.06988232671
394	0.06957512
395	0.06936828063
