iter	Passed	Remaining
0	53	26513
1	98	24517
2	133	22063
3	181	22522
4	225	22297
5	252	20758
6	282	19879
7	310	19094
8	344	18786
9	371	18191
10	396	17641
11	426	17347
12	451	16927
13	494	17151
14	537	17379
15	569	17231
16	622	17673
17	657	17601
18	716	18145
19	789	18937
20	831	18968
21	853	18544
22	886	18381
23	918	18219
24	957	18190
25	1003	18292
26	1050	18406
27	1090	18375
28	1127	18309
29	1156	18126
30	1192	18039
31	1199	17536
32	1233	17456
33	1262	17305
34	1289	17129
35	1340	17283
36	1376	17225
37	1405	17082
38	1432	16936
39	1457	16763
40	1483	16613
41	1512	16488
42	1518	16135
43	1549	16060
44	1575	15927
45	1613	15929
46	1640	15814
47	1668	15713
48	1706	15705
49	1737	15634
50	1769	15576
51	1794	15459
52	1818	15335
53	1843	15227
54	1878	15195
55	1904	15099
56	1930	15005
57	1957	14921
58	1982	14815
59	2023	14839
60	2049	14747
61	2082	14714
62	2108	14628
63	2135	14548
64	2165	14489
65	2192	14419
66	2220	14351
67	2246	14271
68	2273	14203
69	2302	14145
70	2327	14062
71	2357	14011
72	2385	13956
73	2427	13972
74	2464	13963
75	2487	13876
76	2513	13808
77	2539	13738
78	2586	13782
79	2628	13797
80	2660	13764
81	2693	13728
82	2722	13675
83	2754	13640
84	2806	13700
85	2843	13690
86	2874	13646
87	2901	13586
88	2928	13523
89	2965	13509
90	3002	13493
91	3030	13438
92	3062	13403
93	3089	13342
94	3122	13312
95	3151	13262
96	3194	13273
97	3224	13226
98	3256	13189
99	3282	13131
100	3315	13097
101	3354	13090
102	3401	13112
103	3466	13198
104	3502	13176
105	3566	13257
106	3633	13345
107	3699	13428
108	3793	13607
109	3921	13904
110	3988	13977
111	4032	13970
112	4065	13923
113	4097	13873
114	4126	13814
115	4156	13761
116	4185	13701
117	4223	13671
118	4269	13670
119	4316	13667
120	4382	13727
121	4443	13767
122	4500	13795
123	4560	13829
124	4611	13835
125	4653	13813
126	4692	13781
127	4734	13758
128	4773	13729
129	4809	13689
130	4848	13658
131	4885	13618
132	4920	13577
133	4984	13615
134	5056	13672
135	5124	13715
136	5200	13779
137	5277	13843
138	5333	13850
139	5371	13811
140	5418	13796
141	5458	13760
142	5498	13726
143	5538	13692
144	5575	13649
145	5616	13618
146	5678	13636
147	5728	13624
148	5772	13597
149	5814	13566
150	5846	13512
151	5888	13480
152	5927	13444
153	5968	13409
154	6016	13390
155	6061	13366
156	6105	13339
157	6155	13323
158	6202	13301
159	6255	13293
160	6311	13289
161	6372	13294
162	6400	13232
163	6448	13211
164	6505	13207
165	6558	13196
166	6604	13169
167	6655	13152
168	6690	13103
169	6739	13081
170	6775	13035
171	6816	12998
172	6848	12945
173	6884	12899
174	6946	12899
175	7001	12889
176	7058	12880
177	7116	12874
178	7174	12866
179	7220	12836
180	7278	12828
181	7468	13049
182	7576	13124
183	7639	13120
184	7690	13093
185	7739	13065
186	7789	13037
187	7838	13007
188	7896	12994
189	7935	12947
190	7973	12899
191	8002	12837
192	8042	12792
193	8086	12754
194	8131	12718
195	8161	12658
196	8202	12615
197	8253	12589
198	8307	12565
199	8355	12533
200	8408	12507
201	8455	12473
202	8498	12433
203	8541	12394
204	8592	12365
205	8658	12357
206	8726	12351
207	8782	12328
208	8820	12281
209	8885	12271
210	8929	12230
211	8979	12198
212	9030	12167
213	9079	12134
214	9139	12114
215	9184	12076
216	9221	12025
217	9253	11970
218	9292	11922
219	9327	11871
220	9360	11817
221	9404	11776
222	9440	11726
223	9478	11679
224	9522	11638
225	9558	11588
226	9597	11541
227	9631	11490
228	9668	11441
229	9716	11406
230	9769	11376
231	9811	11334
232	9849	11286
233	9889	11241
234	9925	11193
235	9963	11146
236	10000	11097
237	10033	11045
238	10069	10996
239	10121	10964
240	10165	10924
241	10211	10887
242	10262	10853
243	10311	10818
244	10359	10782
245	10404	10742
246	10439	10692
247	10487	10656
248	10531	10616
249	10569	10569
250	10608	10523
251	10656	10487
252	10702	10448
253	10741	10402
254	10784	10361
255	10820	10313
256	10857	10266
257	10907	10231
258	10950	10189
259	10994	10148
260	11033	10103
261	11079	10064
262	11116	10017
263	11164	9980
264	11210	9941
265	11263	9908
266	11314	9873
267	11332	9810
268	11374	9767
269	11425	9732
270	11475	9697
271	11522	9658
272	11574	9623
273	11623	9587
274	11667	9546
275	11716	9508
276	11765	9472
277	11805	9427
278	11848	9385
279	11893	9344
280	11932	9299
281	11976	9258
282	12024	9220
283	12062	9174
284	12109	9134
285	12168	9105
286	12220	9069
287	12261	9026
288	12305	8984
289	12351	8944
290	12394	8902
291	12436	8858
292	12473	8812
293	12510	8765
294	12557	8726
295	12596	8681
